feature,mi_score
gap_down,0.0016971154445672987
nearest_pivot_level_enc,0.0016927422259249703
mfi_ob,0.0016834213017800082
h4_ema_alignment,0.0016231133292881061
macd_cross,0.0015933465922581824
roc_cross_zero,0.0015473509231229698
h4_structure_score,0.0015370226742343895
ema_20_above_50,0.0015228329839485077
vol_regime_num,0.0015208034680820326
h4_momentum_confluence,0.0014952971140291815
rsi_cross_50,0.0014689734509825136
roc_accel_5,0.0014445942060707928
ema_cross_9_20,0.0014240117658745888
pat_inv_hammer,0.0014097434425068833
cci_below_n100,0.001402564679791496
cci_ob,0.001381507352203215
pat_spinning_top,0.0013490570376228916
squeeze_bars,0.0012756044521475829
htf_fully_aligned_bull,0.0012734406116079455
dist_ema_50_pct,0.0012674614722656408
rsi_above_50,0.001253724532307654
price_vs_vwap,0.001220581610090754
macd,0.001195500147250339
ema_50_above_200,0.0011753547022168576
dist_s1_pct,0.001166648852645391
kc_strong_bull,0.0011641533473580878
adx_di_cross,0.0011638136652001307
h1_momentum_confluence,0.0010360597578111808
gap_up,0.000990960654515316
price_zone_20_enc,0.0009220539504677383
breakout_down_50,0.0008874639164053733
bb_walk_upper,0.0008507287047967438
bb_breakout_up,0.000830216620761437
pat_bull_engulf,0.0008015597051835854
near_high_100,0.0007852225557938297
h4_ema_cross_9_20,0.0007714482390852595
rsi_bull_div,0.0007351752768101072
pat_bear_engulf,0.0007050195450704067
stoch_bull_div,0.0006861074402486622
stoch_os,0.0006857205988981541
rsi_mfi_bull,0.0006678340309860253
ichi_strong_bull,0.0006435049280533178
pat_bull_score,0.000584501442320029
adx,0.000570131396130158
supertrend_dir,0.0005536861796446857
price_above_cloud,0.0004993367180281538
adx_growing,0.0004627099591925088
tk_cross,0.0004171381912212446
near_s1,0.0004131782495324643
pat_evening_star,0.00040262975737448414
bb_bounce_up,0.00039310164500250266
adx_strong,0.000353978353601736
trend_cat_enc,0.0003452295366157543
rsi_hidden_bull,0.0003378160548179743
bos_bull,0.00031703579131336923
structure_bear,0.00031444424707771645
h4_squeeze_on,0.00030629242054214245
htf_bear_count,0.0002642400102130793
momentum_confluence,0.00024077850288550806
pat_3_black_crows,0.00023763546576782701
trend_score,0.00023665450522836196
breakout_up_20,0.00019829919122393846
wr_cross_50,0.00018656324862975637
squeeze_momentum,0.00018315100388610617
ema_cross_50_200,0.00017408540922403404
stoch_cross,0.00014195396723648557
tk_above,0.00013183962996787812
macd_above_signal,0.00010594624220905402
gap_size_pct,3.6245243492771806e-05
adx_pos,2.400737600005698e-05
squeeze_on,2.456547798068698e-06
stoch_bull_signal,0.0
rsi_bear_div,0.0
cci_cross_n100,0.0
h4_bos_bear,0.0
h4_bos_bull,0.0
dist_ema_20_pct,0.0
mfi_14,0.0
near_high_20,0.0
cci_cross_100,0.0
pat_doji,0.0
ema_20_slope,0.0
wr_exit_ob,0.0
ema_50_slope,0.0
pat_shooting_star,0.0
pat_bull_marubozu,0.0
pat_bear_marubozu,0.0
is_neutral,0.0
cci_cross_zero,0.0
stoch_ob,0.0
ema_cross_20_50,0.0
squeeze_momentum_dir,0.0
squeeze_strong_bull,0.0
ema_9_above_20,0.0
squeeze_strong_bear,0.0
wr_ob,0.0
breakout_up_50,0.0
wr_os,0.0
htf_score,0.0
mfi_os,0.0
near_low_200,0.0
vol_regime_change,0.0
near_high_200,0.0
wr_above_50,0.0
kc_strong_bear,0.0
ichi_strong_bear,0.0
stoch_bear_signal,0.0
cci_extreme_ob,0.0
h1_squeeze_on,0.0
near_low_100,0.0
pa_score,0.0
squeeze_fire,0.0
pat_net_score,0.0
cci_extreme_os,0.0
h1_rsi_zone_num,0.0
h4_supertrend_dir,0.0
cci_os,0.0
h1_ema_cross_9_20,0.0
h1_ema_cross_20_50,0.0
stoch_bear_div,0.0
bb_width_rank,0.0
h1_ema_alignment,0.0
bos_bear,0.0
macd_hist_pct,0.0
h1_bos_bull,0.0
kc_pct,0.0
pat_morning_star,0.0
bb_bounce_down,0.0
macd_bearish_div,0.0
macd_bullish_div,0.0
macd_hist_growing,0.0
bb_breakout_down,0.0
h4_ema_cross_20_50,0.0
pat_3_white_soldiers,0.0
macd_above_zero,0.0
pat_tweezer_top,0.0
pat_bull_harami,0.0
h4_adx_trending,0.0
h4_adx_di_bull,0.0
price_above_kc_upper,0.0
